,Model,Domain,Result Set,Task,Language,Score
454,bloom3b,all,1,xcopa,sw,52.6
455,bloom3b,all,1,xcopa,ta,55.400000000000006
456,bloom3b,all,1,xcopa,th,54.800000000000004
457,bloom3b,all,1,xcopa,tr,52.6
458,bloom3b,all,1,xcopa,vi,70.8
459,bloom3b,all,1,xcopa,zh,66.60000000000001
460,bloom3b,all,1,xnli,overall,41.199999999999996
461,bloom3b,all,1,xnli,ar,33.410000000000004
462,bloom3b,all,1,xnli,bg,39.48
463,bloom3b,all,1,xnli,de,41.29
464,bloom3b,all,1,xnli,el,33.57
465,bloom3b,all,1,xnli,en,55.42
466,bloom3b,all,1,xnli,es,49.28
467,bloom3b,all,1,xnli,fr,51.160000000000004
468,bloom3b,all,1,xnli,hi,44.019999999999996
469,bloom3b,all,1,xnli,ru,42.01
470,bloom3b,all,1,xnli,sw,34.74
471,bloom3b,all,1,xnli,th,36.59
472,bloom3b,all,1,xnli,tr,33.900000000000006
473,bloom3b,all,1,xnli,ur,39.0
474,bloom3b,all,1,xnli,vi,43.45
475,bloom3b,all,1,xnli,zh,40.760000000000005
476,bloom3b,all,1,xstorycloze,overall,59.67
477,bloom3b,all,1,xstorycloze,ar,59.43000000000001
478,bloom3b,all,1,xstorycloze,en,70.28
479,bloom3b,all,1,xstorycloze,es,67.7
480,bloom3b,all,1,xstorycloze,eu,56.45
481,bloom3b,all,1,xstorycloze,hi,60.23
482,bloom3b,all,1,xstorycloze,id,64.66
483,bloom3b,all,1,xstorycloze,my,48.309999999999995
484,bloom3b,all,1,xstorycloze,ru,52.55
485,bloom3b,all,1,xstorycloze,sw,54.6
486,bloom3b,all,1,xstorycloze,te,57.379999999999995
487,bloom3b,all,1,xstorycloze,zh,64.73
488,bloom3b,all,1,xwinograd,overall,70.47
489,bloom3b,all,1,xwinograd,en,78.84
490,bloom3b,all,1,xwinograd,fr,73.49
491,bloom3b,all,1,xwinograd,ja,55.47
492,bloom3b,all,1,xwinograd,pt,66.16
493,bloom3b,all,1,xwinograd,ru,54.6
494,bloom3b,all,1,xwinograd,zh,72.02
495,bloom3b,learned,2,pawsx,overall,49.44
496,bloom3b,learned,2,pawsx,de,47.3
497,bloom3b,learned,2,pawsx,en,41.55
498,bloom3b,learned,2,pawsx,es,43.0
499,bloom3b,learned,2,pawsx,fr,54.2
500,bloom3b,learned,2,pawsx,ja,55.800000000000004
501,bloom3b,learned,2,pawsx,ko,53.7
502,bloom3b,learned,2,pawsx,zh,50.5
503,bloom3b,learned,2,xcopa,overall,57.199999999999996
504,bloom3b,learned,2,xcopa,et,50.6
505,bloom3b,learned,2,xcopa,ht,52.2
506,bloom3b,learned,2,xcopa,id,71.39999999999999
507,bloom3b,learned,2,xcopa,it,53.2
508,bloom3b,learned,2,xcopa,qu,51.0
509,bloom3b,learned,2,xcopa,sw,53.0
510,bloom3b,learned,2,xcopa,ta,54.6
511,bloom3b,learned,2,xcopa,th,51.800000000000004
512,bloom3b,learned,2,xcopa,tr,55.400000000000006
513,bloom3b,learned,2,xcopa,vi,71.2
514,bloom3b,learned,2,xcopa,zh,64.8
515,bloom3b,learned,2,xnli,overall,40.77
516,bloom3b,learned,2,xnli,ar,33.37
517,bloom3b,learned,2,xnli,bg,38.71
518,bloom3b,learned,2,xnli,de,40.52
519,bloom3b,learned,2,xnli,el,33.94
520,bloom3b,learned,2,xnli,en,55.46
521,bloom3b,learned,2,xnli,es,49.64
522,bloom3b,learned,2,xnli,fr,49.559999999999995
523,bloom3b,learned,2,xnli,hi,44.9
524,bloom3b,learned,2,xnli,ru,41.61
525,bloom3b,learned,2,xnli,sw,34.86
526,bloom3b,learned,2,xnli,th,33.98
527,bloom3b,learned,2,xnli,tr,33.33
528,bloom3b,learned,2,xnli,ur,38.43
529,bloom3b,learned,2,xnli,vi,43.94
530,bloom3b,learned,2,xnli,zh,39.28
531,bloom3b,learned,2,xstorycloze,overall,59.58
532,bloom3b,learned,2,xstorycloze,ar,59.43000000000001
533,bloom3b,learned,2,xstorycloze,en,71.67
534,bloom3b,learned,2,xstorycloze,es,68.43
535,bloom3b,learned,2,xstorycloze,eu,56.38999999999999
536,bloom3b,learned,2,xstorycloze,hi,59.230000000000004
537,bloom3b,learned,2,xstorycloze,id,64.86
